Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,180,180,Texas,7730337
Jae Crowder,Boston Celtics,99,SF,25,150,235,Marquette,6796117
John Holland,Boston Celtics,30,SG,27,151,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,152,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,8,PF,29,153,231,,5000000
Amir Johnson,Boston Celtics,90,PF,29,154,240,,12000000
Jordan Mickey,Boston Celtics,55,PF,21,155,235,LSU,1170960
Kelly Olynyk,Boston Celtics,41,C,25,156,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,12,PG,22,157,190,Louisville,1824360
Marcus Smart,Boston Celtics,36,PG,22,158,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,7,C,24,159,260,Ohio State,2569260
Isaiah Thomas,Boston Celtics,4,PG,27,160,185,Washington,6912869
Evan Turner,Boston Celtics,11,SG,27,161,220,Ohio State,3425510
James Young,Boston Celtics,13,SG,20,162,215,Kentucky,1749840
Tyler Zeller,Boston Celtics,44,C,26,163,253,North Carolina,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,164,216,,3425510
Markel Brown,Brooklyn Nets,22,SG,24,165,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,166,200,North Carolina,1500000
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,167,220,Arizona,1335480
Jarrett Jack,Brooklyn Nets,2,PG,32,168,200,Georgia Tech,6300000
Sergey Karasev,Brooklyn Nets,10,SG,22,169,208,,1599840
Sean Kilpatrick,Brooklyn Nets,6,SG,26,170,219,Cincinnati,134215
Shane Larkin,Brooklyn Nets,0,PG,23,171,175,Miami (FL),1500000
Brook Lopez,Brooklyn Nets,11,C,28,172,275,Stanford,19689000
Chris McCullough,Brooklyn Nets,1,PF,21,173,200,Syracuse,1140240
Willie Reed,Brooklyn Nets,33,PF,26,180,220,Saint Louis,947276
Thomas Robinson,Brooklyn Nets,41,PF,25,151,237,Kansas,981348
Henry Sims,Brooklyn Nets,14,C,26,152,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,15,PG,28,153,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,30,PF,27,154,221,Georgia Tech,11235955
Arron Afflalo,New York Knicks,4,SG,30,155,210,UCLA,8000000
Lou Amundson,New York Knicks,17,PF,33,156,220,UNLV,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,23,157,205,,30888
Carmelo Anthony,New York Knicks,7,SF,32,158,240,Syracuse,22875000
Jose Calderon,New York Knicks,3,PG,34,159,200,,7402812
Cleanthony Early,New York Knicks,11,SF,25,160,210,Wichita State,845059
Langston Galloway,New York Knicks,2,SG,24,161,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,13,PG,23,162,195,Notre Dame,1572360
Robin Lopez,New York Knicks,8,C,28,163,255,Stanford,12650000
Kyle O'Quinn,New York Knicks,9,PF,26,164,250,Norfolk State,3750000
Kristaps Porzingis,New York Knicks,6,PF,20,165,240,,4131720
Kevin Seraphin,New York Knicks,1,C,26,166,278,,2814000
Lance Thomas,New York Knicks,42,SF,28,167,235,Duke,1636842
Sasha Vujacic,New York Knicks,18,SG,32,168,195,,947276
Derrick Williams,New York Knicks,23,PF,25,169,240,Arizona,4000000
Tony Wroten,New York Knicks,5,SG,23,170,205,Washington,167406
Elton Brand,Philadelphia 76ers,42,PF,37,171,254,Duke,
Isaiah Canaan,Philadelphia 76ers,0,PG,25,172,201,Murray State,947276
Robert Covington,Philadelphia 76ers,33,SF,25,173,215,Tennessee State,1000000
Joel Embiid,Philadelphia 76ers,21,C,22,174,250,Kansas,4626960
Jerami Grant,Philadelphia 76ers,39,SF,22,175,210,Syracuse,845059
Richaun Holmes,Philadelphia 76ers,22,PF,22,176,245,Bowling Green,1074169
Carl Landry,Philadelphia 76ers,7,PF,32,177,248,Purdue,6500000
Kendall Marshall,Philadelphia 76ers,5,PG,24,178,200,North Carolina,2144772
T.J. McConnell,Philadelphia 76ers,12,PG,24,179,200,Arizona,525093
Nerlens Noel,Philadelphia 76ers,4,PF,22,180,228,Kentucky,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,20,150,275,Duke,4582680
Ish Smith,Philadelphia 76ers,1,PG,27,151,175,Wake Forest,947276
Nik Stauskas,Philadelphia 76ers,11,SG,22,152,205,Michigan,2869440
Hollis Thompson,Philadelphia 76ers,31,SG,25,153,206,Georgetown,947276
Christian Wood,Philadelphia 76ers,35,PF,20,154,220,UNLV,525093
Bismack Biyombo,Toronto Raptors,8,C,23,155,245,,2814000
Bruno Caboclo,Toronto Raptors,20,SF,20,156,205,,1524000
DeMarre Carroll,Toronto Raptors,5,SF,29,157,212,Missouri,13600000
DeMar DeRozan,Toronto Raptors,10,SG,26,158,220,USC,10050000
James Johnson,Toronto Raptors,3,PF,29,159,250,Wake Forest,2500000
Cory Joseph,Toronto Raptors,6,PG,24,160,190,Texas,7000000
Kyle Lowry,Toronto Raptors,7,PG,30,161,205,Villanova,12000000
Lucas Nogueira,Toronto Raptors,92,C,23,162,220,,1842000
Patrick Patterson,Toronto Raptors,54,PF,27,163,235,Kentucky,6268675
Norman Powell,Toronto Raptors,24,SG,23,164,215,UCLA,650000
Terrence Ross,Toronto Raptors,31,SF,25,165,195,Washington,3553917
Luis Scola,Toronto Raptors,4,PF,36,166,240,,2900000
Jason Thompson,Toronto Raptors,1,PF,29,167,250,Rider,245177
Jonas Valanciunas,Toronto Raptors,17,C,24,168,255,,4660482
Delon Wright,Toronto Raptors,55,PG,24,169,190,Utah,1509360
Leandro Barbosa,Golden State Warriors,19,SG,33,170,194,,2500000
Harrison Barnes,Golden State Warriors,40,SF,24,171,225,North Carolina,3873398
Andrew Bogut,Golden State Warriors,12,C,31,172,260,Utah,13800000
Ian Clark,Golden State Warriors,21,SG,25,173,175,Belmont,947276
Stephen Curry,Golden State Warriors,30,PG,28,174,190,Davidson,11370786
Festus Ezeli,Golden State Warriors,31,C,26,175,265,Vanderbilt,2008748
Draymond Green,Golden State Warriors,23,PF,26,176,230,Michigan State,14260870
Andre Iguodala,Golden State Warriors,9,SF,32,177,215,Arizona,11710456
Shaun Livingston,Golden State Warriors,34,PG,30,178,192,,5543725
Kevon Looney,Golden State Warriors,36,SF,20,179,220,UCLA,1131960
James Michael McAdoo,Golden State Warriors,20,SF,23,180,240,North Carolina,845059
Brandon Rush,Golden State Warriors,4,SF,30,150,220,Kansas,1270964
Marreese Speights,Golden State Warriors,5,C,28,151,255,Florida,3815000
Klay Thompson,Golden State Warriors,11,SG,26,152,215,Washington State,15501000
Anderson Varejao,Golden State Warriors,18,PF,33,153,273,,289755
Cole Aldrich,Los Angeles Clippers,45,C,27,154,250,Kansas,1100602
Jeff Ayres,Los Angeles Clippers,19,PF,29,155,250,Arizona State,111444
Jamal Crawford,Los Angeles Clippers,11,SG,36,156,195,Michigan,5675000
Branden Dawson,Los Angeles Clippers,22,SF,23,157,225,Michigan State,525093
Jeff Green,Los Angeles Clippers,8,SF,29,158,235,Georgetown,9650000
Blake Griffin,Los Angeles Clippers,32,PF,27,159,251,Oklahoma,18907726
Wesley Johnson,Los Angeles Clippers,33,SF,28,160,215,Syracuse,1100602
DeAndre Jordan,Los Angeles Clippers,6,C,27,161,265,Texas A&M,19689000
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,162,230,UCLA,947276
Chris Paul,Los Angeles Clippers,3,PG,31,163,175,Wake Forest,21468695
Paul Pierce,Los Angeles Clippers,34,SF,38,164,235,Kansas,3376000
Pablo Prigioni,Los Angeles Clippers,9,PG,39,165,185,,947726
JJ Redick,Los Angeles Clippers,4,SG,31,166,190,Duke,7085000
Austin Rivers,Los Angeles Clippers,25,PG,23,167,200,Duke,3110796
C.J. Wilcox,Los Angeles Clippers,30,SG,25,168,195,Washington,1159680
Brandon Bass,Los Angeles Lakers,2,PF,31,169,250,LSU,3000000
Tarik Black,Los Angeles Lakers,28,C,24,170,250,Kansas,845059
Anthony Brown,Los Angeles Lakers,3,SF,23,171,210,Stanford,700000
Kobe Bryant,Los Angeles Lakers,24,SF,37,172,212,,25000000
Jordan Clarkson,Los Angeles Lakers,6,PG,24,173,194,Missouri,845059
Roy Hibbert,Los Angeles Lakers,17,C,29,174,270,Georgetown,15592217
Marcelo Huertas,Los Angeles Lakers,9,PG,33,175,200,,525093
Ryan Kelly,Los Angeles Lakers,4,PF,25,176,230,Duke,1724250
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,177,230,Wyoming,1155600
Julius Randle,Los Angeles Lakers,30,PF,21,178,250,Kentucky,3132240
D'Angelo Russell,Los Angeles Lakers,1,PG,20,179,195,Ohio State,5103120
Robert Sacre,Los Angeles Lakers,50,C,27,180,270,Gonzaga,981348
Louis Williams,Los Angeles Lakers,23,SG,29,150,175,,7000000
Metta World Peace,Los Angeles Lakers,37,SF,36,151,260,St. John's,947276
Nick Young,Los Angeles Lakers,0,SF,31,152,210,USC,5219169
Eric Bledsoe,Phoenix Suns,2,PG,26,153,190,Kentucky,13500000
Devin Booker,Phoenix Suns,1,SG,19,154,206,Kentucky,2127840
Chase Budinger,Phoenix Suns,10,SF,28,155,209,Arizona,206192
Tyson Chandler,Phoenix Suns,4,C,33,156,240,,13000000
Archie Goodwin,Phoenix Suns,20,SG,21,157,200,Kentucky,1160160
John Jenkins,Phoenix Suns,23,SG,25,158,215,Vanderbilt,981348
Brandon Knight,Phoenix Suns,3,PG,24,159,189,Kentucky,13500000
Alex Len,Phoenix Suns,21,C,22,160,260,Maryland,3807120
Jon Leuer,Phoenix Suns,30,PF,27,161,228,Wisconsin,1035000
Phil Pressey,Phoenix Suns,25,PG,25,162,175,Missouri,55722
Ronnie Price,Phoenix Suns,14,PG,32,163,190,Utah Valley,947276
Mirza Teletovic,Phoenix Suns,35,PF,30,164,242,,5500000
P.J. Tucker,Phoenix Suns,17,SF,31,165,245,Texas,5500000
T.J. Warren,Phoenix Suns,12,SF,22,166,230,North Carolina State,2041080
Alan Williams,Phoenix Suns,15,C,23,167,260,UC Santa Barbara,83397
Quincy Acy,Sacramento Kings,13,SF,25,168,240,Baylor,981348
James Anderson,Sacramento Kings,5,SG,27,169,213,Oklahoma State,1015421
Marco Belinelli,Sacramento Kings,3,SG,30,170,210,,6060606
Caron Butler,Sacramento Kings,31,SF,36,171,228,Connecticut,1449187
Omri Casspi,Sacramento Kings,18,SF,27,172,225,,2836186
Willie Cauley-Stein,Sacramento Kings,0,C,22,173,240,Kentucky,3398280
Darren Collison,Sacramento Kings,7,PG,28,174,175,UCLA,5013559
DeMarcus Cousins,Sacramento Kings,15,C,25,175,270,Kentucky,15851950
Seth Curry,Sacramento Kings,30,SG,25,176,185,Duke,947276
Duje Dukan,Sacramento Kings,26,PF,24,177,220,Wisconsin,525093
Rudy Gay,Sacramento Kings,8,SF,29,178,230,Connecticut,12403101
Kosta Koufos,Sacramento Kings,41,C,27,179,265,Ohio State,7700000
Ben McLemore,Sacramento Kings,23,SG,23,180,195,Kansas,3156600
Eric Moreland,Sacramento Kings,25,PF,24,150,238,Oregon State,845059
Rajon Rondo,Sacramento Kings,9,PG,30,151,186,Kentucky,9500000
Cameron Bairstow,Chicago Bulls,41,PF,25,152,250,New Mexico,845059
Aaron Brooks,Chicago Bulls,0,PG,31,153,161,Oregon,2250000
Jimmy Butler,Chicago Bulls,21,SG,26,154,220,Marquette,16407500
Mike Dunleavy,Chicago Bulls,34,SG,35,155,230,Duke,4500000
Cristiano Felicio,Chicago Bulls,6,PF,23,156,275,,525093
Pau Gasol,Chicago Bulls,16,C,35,157,250,,7448760
Taj Gibson,Chicago Bulls,22,PF,30,158,225,USC,8500000
Justin Holiday,Chicago Bulls,7,SG,27,159,185,Washington,947276
Doug McDermott,Chicago Bulls,3,SF,24,160,225,Creighton,2380440
Nikola Mirotic,Chicago Bulls,44,PF,25,161,220,,5543725
E'Twaun Moore,Chicago Bulls,55,SG,27,162,191,Purdue,1015421
Joakim Noah,Chicago Bulls,13,C,31,163,232,Florida,13400000
Bobby Portis,Chicago Bulls,5,PF,21,164,230,Arkansas,1391160
Derrick Rose,Chicago Bulls,1,PG,27,165,190,Memphis,20093064
Tony Snell,Chicago Bulls,20,SF,24,166,200,New Mexico,1535880
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,167,198,Saint Mary's,1147276
Channing Frye,Cleveland Cavaliers,9,PF,33,168,255,Arizona,8193029
Kyrie Irving,Cleveland Cavaliers,2,PG,24,169,193,Duke,16407501
LeBron James,Cleveland Cavaliers,23,SF,31,170,250,,22970500
Richard Jefferson,Cleveland Cavaliers,24,SF,35,171,233,Arizona,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,35,172,225,Duke,
James Jones,Cleveland Cavaliers,1,SG,35,173,218,Miami (FL),947276
Sasha Kaun,Cleveland Cavaliers,14,C,31,174,260,Kansas,1276000
Kevin Love,Cleveland Cavaliers,0,PF,27,175,251,UCLA,19689000
Jordan McRae,Cleveland Cavaliers,12,SG,25,176,179,Tennessee,111196
Timofey Mozgov,Cleveland Cavaliers,20,C,29,177,275,,4950000
Iman Shumpert,Cleveland Cavaliers,4,SG,25,178,220,Georgia Tech,8988765
J.R. Smith,Cleveland Cavaliers,5,SG,30,179,225,,5000000
Tristan Thompson,Cleveland Cavaliers,13,C,25,180,238,Texas,14260870
Mo Williams,Cleveland Cavaliers,52,PG,33,150,198,Alabama,2100000
Joel Anthony,Detroit Pistons,50,C,33,151,245,UNLV,2500000
Aron Baynes,Detroit Pistons,12,C,29,152,260,Washington State,6500000
Steve Blake,Detroit Pistons,22,PG,36,153,172,Maryland,2170465
Lorenzo Brown,Detroit Pistons,17,PG,25,154,189,North Carolina State,111444
Reggie Bullock,Detroit Pistons,25,SF,25,155,205,North Carolina,1252440
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,156,205,Georgia,2891760
Spencer Dinwiddie,Detroit Pistons,8,PG,23,157,200,Colorado,845059
Andre Drummond,Detroit Pistons,0,C,22,158,279,Connecticut,3272091
Tobias Harris,Detroit Pistons,34,SF,23,159,235,Tennessee,16000000
Darrun Hilliard,Detroit Pistons,6,SF,23,160,205,Villanova,600000
Reggie Jackson,Detroit Pistons,1,PG,26,161,208,Boston College,13913044
Stanley Johnson,Detroit Pistons,3,SF,20,162,245,Arizona,2841960
Jodie Meeks,Detroit Pistons,20,SG,28,163,210,Kentucky,6270000
Marcus Morris,Detroit Pistons,13,PF,26,164,235,Kansas,5000000
Anthony Tolliver,Detroit Pistons,43,PF,31,165,240,Creighton,3000000
Lavoy Allen,Indiana Pacers,5,PF,27,166,255,Temple,4050000
Rakeem Christmas,Indiana Pacers,25,PF,24,167,250,Syracuse,1007026
Monta Ellis,Indiana Pacers,11,SG,30,168,185,,10300000
Paul George,Indiana Pacers,13,SF,26,169,220,Fresno State,17120106
George Hill,Indiana Pacers,3,PG,30,170,188,IUPUI,8000000
Jordan Hill,Indiana Pacers,27,C,28,171,235,Arizona,4000000
Solomon Hill,Indiana Pacers,44,SF,25,172,225,Arizona,1358880
Ty Lawson,Indiana Pacers,10,PG,28,173,195,North Carolina,211744
Ian Mahinmi,Indiana Pacers,28,C,29,174,250,,4000000
C.J. Miles,Indiana Pacers,0,SF,29,175,231,,4394225
Glenn Robinson III,Indiana Pacers,40,SG,22,176,222,Michigan,1100000
Rodney Stuckey,Indiana Pacers,2,PG,30,177,205,Eastern Washington,7000000
Myles Turner,Indiana Pacers,33,PF,20,178,243,Texas,2357760
Shayne Whittington,Indiana Pacers,42,PF,25,179,250,Western Michigan,845059
Joe Young,Indiana Pacers,1,PG,23,180,180,Oregon,1007026
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,150,222,,1953960
Jerryd Bayless,Milwaukee Bucks,19,PG,27,151,200,Arizona,3000000
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,152,190,Syracuse,2399040
Jared Cunningham,Milwaukee Bucks,9,SG,25,153,195,Oregon State,947276
Tyler Ennis,Milwaukee Bucks,11,PG,21,154,194,Syracuse,1662360
John Henson,Milwaukee Bucks,31,PF,25,155,229,North Carolina,2943221
Damien Inglis,Milwaukee Bucks,17,SF,21,156,246,,855000
O.J. Mayo,Milwaukee Bucks,3,SG,28,157,210,USC,8000000
Khris Middleton,Milwaukee Bucks,22,SG,24,158,234,Texas A&M,14700000
Greg Monroe,Milwaukee Bucks,15,C,26,159,265,Georgetown,16407500
Steve Novak,Milwaukee Bucks,6,SF,32,160,225,Marquette,295327
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,161,257,LSU,845059
Jabari Parker,Milwaukee Bucks,12,PF,21,162,250,Duke,5152440
Miles Plumlee,Milwaukee Bucks,18,C,27,163,249,Duke,2109294
Greivis Vasquez,Milwaukee Bucks,21,PG,29,164,217,Maryland,6600000
Rashad Vaughn,Milwaukee Bucks,20,SG,19,165,202,UNLV,1733040
Justin Anderson,Dallas Mavericks,1,SG,22,166,228,Virginia,1449000
